Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD4 T-cellStep
ENSG00000196655	TRAPPC4	 PTD009, SBDN, TRS23,	"Trafficking protein particle complex 4"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	51399	TRAPPC4	TopGeneInFirstStep
ENSG00000196670	ZFP62	 FLJ34231, ZET, ZNF755,	"ZFP62 zinc finger protein"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	643836	ZFP62	TF
ENSG00000196693	ZNF33B	 KOX2, KOX31, ZNF11B,	"Zinc finger protein 33B"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7582	ZNF33B	TF
ENSG00000196704	AMZ2	 ,	"Archaelysin family metallopeptidase 2"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51321	AMZ2	TopGeneInFirstStep
ENSG00000196705	ZNF431	 KIAA1969,	"Zinc finger protein 431"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	170959	ZNF431	TF
ENSG00000196757	ZNF700	 DKFZp434I1610,	"Zinc finger protein 700"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	90592	ZNF700	TF
ENSG00000196776	CD47	 IAP, MER6, OA3,	"CD47 molecule"	"CD markers, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	961	CD47	TopGeneInFirstStep
ENSG00000196812	ZSCAN16	 dJ265C24.3, FLJ22191, ZNF392, ZNF435,	"Zinc finger and SCAN domain containing 16"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	80345	ZSCAN16	TF
ENSG00000196839	ADA	 ADA1,	"Adenosine deaminase"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	100	ADA	TopGeneInFirstStep
ENSG00000196843	ARID5A	 MRF-1, RP11-363D14,	"AT-rich interaction domain 5A"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10865	ARID5A	TF
ENSG00000196873	CBWD3	 bA561O23.1,	"COBW domain containing 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	445571	CBWD3	TopGeneInFirstStep
ENSG00000196911	KPNA5	 IPOA6, SRP6,	"Karyopherin subunit alpha 5"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	3841	KPNA5	TopGeneInFirstStep
ENSG00000196937	FAM3C	 GS3876, ILEI,	"FAM3 metabolism regulating signaling molecule C"	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	10447	FAM3C	FunctionGene
ENSG00000196954	CASP4	 ICE(rel)II, ICH-2, TX,	"Caspase 4"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	837	CASP4	TopGeneInFirstStep
ENSG00000196967	ZNF585A	 FLJ23765, Zfp27,	"Zinc finger protein 585A"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	199704	ZNF585A	TopGeneInFirstStep,TF
ENSG00000196976	LAGE3	 CVG5, DXS9879E, DXS9951E, ESO3, ITBA2, Pcc1,	"L antigen family member 3"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8270	LAGE3	TopGeneInFirstStep
ENSG00000196998	WDR45	 JM5, NBIA5, WDRX1, WIPI4,	"WD repeat domain 45"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	11152	WDR45	TopGeneInFirstStep
ENSG00000197008	ZNF138	 pHZ-32,	"Zinc finger protein 138"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7697	ZNF138	TF
ENSG00000197013	ZNF429	 ,	"Zinc finger protein 429"	"Predicted intracellular proteins, Transcription factors"	"Evidence at transcript level"	"Evidence at transcript level"	353088	ZNF429	TF
ENSG00000197020	ZNF100	 ,	"Zinc finger protein 100"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	163227	ZNF100	TF
ENSG00000197021	EOLA2	 CXorf40B,	"Endothelium and lymphocyte associated ASCH domain 2"	"Predicted intracellular proteins"	"Evidence at transcript level"	"Evidence at transcript level"	541578	EOLA2	TopGeneInFirstStep
ENSG00000197024	ZNF398	 KIAA1339, P51, P71, ZER6,	"Zinc finger protein 398"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	57541	ZNF398	TF
ENSG00000197037	ZSCAN25	 FLJ32468, ZNF498,	"Zinc finger and SCAN domain containing 25"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	221785	ZSCAN25	TF
ENSG00000197043	ANXA6	 ANX6,	"Annexin A6"	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	309	ANXA6	TopGeneInFirstStep,FunctionGene
ENSG00000197044	ZNF441	 FLJ38637,	"Zinc finger protein 441"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	126068	ZNF441	TF
ENSG00000197045	GMFB	 GMF,	"Glia maturation factor beta"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2764	GMFB	FunctionGene
ENSG00000197050	ZNF420	 FLJ32191,	"Zinc finger protein 420"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	147923	ZNF420	TF
ENSG00000197054	ZNF763	 ZNF440L,	"Zinc finger protein 763"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	284390	ZNF763	TF
ENSG00000197061	H4C3	 dJ221C16.1, H4/g, H4FG, HIST1H4C,	"H4 clustered histone 3"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8364	H4C3	TopGeneInFirstStep
ENSG00000197062	ZSCAN26	 SRE-ZBP, ZNF187,	"Zinc finger and SCAN domain containing 26"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7741	ZSCAN26	TF
ENSG00000197070	ARRDC1	 MGC40555,	"Arrestin domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	92714	ARRDC1	TopGeneInFirstStep
ENSG00000197124	ZNF682	 BC39498_3,	"Zinc finger protein 682"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	91120	ZNF682	TF
ENSG00000197134	ZNF257	 BMZF-4,	"Zinc finger protein 257"	"Predicted intracellular proteins, Transcription factors"	"Evidence at transcript level"	"Evidence at transcript level"	113835	ZNF257	TF
ENSG00000197162	ZNF785	 FLJ32130,	"Zinc finger protein 785"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	146540	ZNF785	TF
ENSG00000197223	C1D	 LRP1, Rrp47, SUN-CoR, SUNCOR,	"C1D nuclear receptor corepressor"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10438	C1D	TopGeneInFirstStep
ENSG00000197279	ZNF165	 CT53, ZSCAN7,	"Zinc finger protein 165"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7718	ZNF165	TF,TcellActVsNaive
ENSG00000197343	ZNF655	 VIK, VIK-1,	"Zinc finger protein 655"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	79027	ZNF655	TopGeneInFirstStep,TF
ENSG00000197362	ZNF786	 DKFZp762I137,	"Zinc finger protein 786"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	136051	ZNF786	TF
ENSG00000197372	ZNF675	 TBZF, TIZ,	"Zinc finger protein 675"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	171392	ZNF675	TF
ENSG00000197461	PDGFA	 PDGF-A, PDGF1,	"Platelet derived growth factor subunit A"	"Cancer-related genes, Candidate cardiovascular disease genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at transcript level"	5154	PDGFA	FunctionGene
ENSG00000197471	SPN	 CD43, GPL115, LSN,	Sialophorin	"CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6693	SPN	TopGeneInFirstStep
ENSG00000197540	GZMM	 LMET1, MET1,	"Granzyme M"	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	3004	GZMM	TopGeneInFirstStep
ENSG00000197566	ZNF624	 KIAA1349,	"Zinc finger protein 624"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	57547	ZNF624	TF
ENSG00000197579	TOPORS	 LUN, RP31, TP53BPL,	"TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10210	TOPORS	TF
ENSG00000197608	ZNF841	 LOC284371,	"Zinc finger protein 841"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	284371	ZNF841	TF
ENSG00000197619	ZNF615	 FLJ33710,	"Zinc finger protein 615"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	284370	ZNF615	TF
ENSG00000197696	NMB	 MGC17211, MGC2277, MGC3936,	"Neuromedin B"	"Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	4828	NMB	FunctionGene
ENSG00000197714	ZNF460	 HZF8, ZNF272,	"Zinc finger protein 460"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10794	ZNF460	TF
ENSG00000197747	S100A10	 42C, ANX2LG, CAL1L, CLP11, P11,	"S100 calcium binding protein A10"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	6281	S100A10	TopGeneInFirstStep
ENSG00000197779	ZNF81	 HFZ20, MRX45,	"Zinc finger protein 81"	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	347344	ZNF81	TF
ENSG00000197782	ZNF780A	 ZNF780,	"Zinc finger protein 780A"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	284323	ZNF780A	TF
ENSG00000197808	ZNF461	 GIOT-1, MGC33911,	"Zinc finger protein 461"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	92283	ZNF461	TF
ENSG00000197841	ZNF181	 HHZ181, MGC44316,	"Zinc finger protein 181"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	339318	ZNF181	TF
ENSG00000197857	ZNF44	 KOX7, ZNF504, ZNF55, ZNF58,	"Zinc finger protein 44"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	51710	ZNF44	TF
ENSG00000197863	ZNF790	 FLJ20350, MGC62100,	"Zinc finger protein 790"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	388536	ZNF790	TF
ENSG00000197903	H2BC12	 H2BFAiii, H2BFT, HIST1H2BK,	"H2B clustered histone 12"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	85236	H2BC12	TopGeneInFirstStep
ENSG00000197928	ZNF677	 MGC48625,	"Zinc finger protein 677"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	342926	ZNF677	TF
ENSG00000197933	ZNF823	 HSZFP36,	"Zinc finger protein 823"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	55552	ZNF823	TF
ENSG00000197937	ZNF347	 ZNF1111,	"Zinc finger protein 347"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	84671	ZNF347	TF
ENSG00000197951	ZNF71	 Cos26, EZFIT,	"Zinc finger protein 71"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	58491	ZNF71	TF
ENSG00000197961	ZNF121	 D19S204, ZHC32, ZNF20,	"Zinc finger protein 121"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7675	ZNF121	TF
ENSG00000198105	ZNF248	 bA162G10.3,	"Zinc finger protein 248"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	57209	ZNF248	TF
ENSG00000198130	HIBCH	 ,	"3-hydroxyisobutyryl-CoA hydrolase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26275	HIBCH	TopGeneInFirstStep
ENSG00000198131	ZNF544	 AF020591,	"Zinc finger protein 544"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	27300	ZNF544	TF
ENSG00000198146	ZNF770	 FLJ20582, PRO1914,	"Zinc finger protein 770"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	54989	ZNF770	TF
ENSG00000198182	ZNF607	 FLJ14802, MGC13071,	"Zinc finger protein 607"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	84775	ZNF607	TF
ENSG00000198189	HSD17B11	 17-BETA-HSD11, 17-BETA-HSDXI, DHRS8, PAN1B, RetSDR2, SDR16C2,	"Hydroxysteroid 17-beta dehydrogenase 11"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51170	HSD17B11	TopGeneInFirstStep
ENSG00000198246	SLC29A3	 ENT3, FLJ11160,	"Solute carrier family 29 member 3"	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	55315	SLC29A3	FunctionGene
ENSG00000198286	CARD11	 BIMP3, CARMA1,	"Caspase recruitment domain family member 11"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	84433	CARD11	FunctionGene
ENSG00000198298	ZNF485	 ,	"Zinc finger protein 485"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	220992	ZNF485	TF
ENSG00000198342	ZNF442	 FLJ14356,	"Zinc finger protein 442"	"Predicted intracellular proteins, Transcription factors"	"Evidence at transcript level"	"Evidence at transcript level"	79973	ZNF442	TF
ENSG00000198346	ZNF813	 FLJ16542,	"Zinc finger protein 813"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	126017	ZNF813	TF
ENSG00000198355	PIM3	 ,	"Pim-3 proto-oncogene, serine/threonine kinase"	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	415116	PIM3	TcellActVsNaive
ENSG00000198393	ZNF26	 FLJ20755, KOX20,	"Zinc finger protein 26"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7574	ZNF26	TF
ENSG00000198399	ITSN2	 KIAA1256, PRO2015, SH3D1B, SH3P18, SWA, SWAP,	"Intersectin 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	50618	ITSN2	TopGeneInFirstStep
ENSG00000198417	MT1F	 MT1,	"Metallothionein 1F"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	4494	MT1F	TopGeneInFirstStep
ENSG00000198429	ZNF69	 Cos5,	"Zinc finger protein 69"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7620	ZNF69	TF
ENSG00000198431	TXNRD1	 GRIM-12, Trxr1, TXNR,	"Thioredoxin reductase 1"	"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7296	TXNRD1	TcellActVsNaive
ENSG00000198453	ZNF568	 DKFZp686B0797,	"Zinc finger protein 568"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	374900	ZNF568	TF
ENSG00000198464	ZNF480	 MGC32104,	"Zinc finger protein 480"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	147657	ZNF480	TF
ENSG00000198482	ZNF808	 ,	"Zinc finger protein 808"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	388558	ZNF808	TF
ENSG00000198492	YTHDF2	 CAHL, HGRG8, NY-REN-2,	"YTH N6-methyladenosine RNA binding protein 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51441	YTHDF2	TopGeneInFirstStep
ENSG00000198521	ZNF43	 HTF6, KOX27, ZNF39L1,	"Zinc finger protein 43"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7594	ZNF43	TF
ENSG00000198538	ZNF28	 DKFZp781D0275, KOX24,	"Zinc finger protein 28"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7576	ZNF28	TF
ENSG00000198551	ZNF627	 FLJ90365,	"Zinc finger protein 627"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	199692	ZNF627	TF
ENSG00000198556	ZNF789	 ,	"Zinc finger protein 789"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	285989	ZNF789	TF
ENSG00000198612	COPS8	 COP9, CSN8, MGC1297, SGN8,	"COP9 signalosome subunit 8"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10920	COPS8	TopGeneInFirstStep
ENSG00000198692	EIF1AY	 ,	"Eukaryotic translation initiation factor 1A Y-linked"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9086	EIF1AY	TopGeneInFirstStep
ENSG00000198695	MT-ND6	 MTND6, NAD6, ND6,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4541	MT-ND6	TopGeneInFirstStep
ENSG00000198712	MT-CO2	 CO2, COX2, MTCO2,	"Mitochondrially encoded cytochrome c oxidase II"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	4513	MT-CO2	TopGeneInFirstStep
ENSG00000198715	GLMP	 C1orf85, MGC31963, NCU-G1,	"Glycosylated lysosomal membrane protein"	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	112770	GLMP	TopGeneInFirstStep,TF
ENSG00000198721	ECI2	 ACBD2, DRS1, HCA88, PECI,	"Enoyl-CoA delta isomerase 2"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10455	ECI2	TopGeneInFirstStep
ENSG00000198727	MT-CYB	 COB, CYTB, MTCYB, UQCR3,	"Mitochondrially encoded cytochrome b"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4519	MT-CYB	TopGeneInFirstStep
ENSG00000198740	ZNF652	 KIAA0924,	"Zinc finger protein 652"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	22834	ZNF652	TF
ENSG00000198763	MT-ND2	 MTND2, NAD2, ND2,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4536	MT-ND2	TopGeneInFirstStep
ENSG00000198771	RCSD1	 CapZIP, MGC21854, MK2S4,	"RCSD domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	92241	RCSD1	TopGeneInFirstStep
ENSG00000198786	MT-ND5	 MTND5, NAD5, ND5,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4540	MT-ND5	TopGeneInFirstStep
ENSG00000198804	MT-CO1	 COI, COX1, MTCO1,	"Mitochondrially encoded cytochrome c oxidase I"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	4512	MT-CO1	TopGeneInFirstStep
ENSG00000198805	PNP	 NP, PUNP,	"Purine nucleoside phosphorylase"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4860	PNP	TopGeneInFirstStep
ENSG00000198814	GK	 GK1, GKD,	"Glycerol kinase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	2710	GK	TcellActVsNaive
ENSG00000198815	FOXJ3	 KIAA1041,	"Forkhead box J3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	22887	FOXJ3	TF
ENSG00000198821	CD247	 CD3H, CD3Q, CD3Z,	"CD247 molecule"	"CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	919	CD247	TopGeneInFirstStep,CancerDExpr,FunctionGene
ENSG00000198824	CHAMP1	 C13orf8, CAMP, CHAMP, ZNF828,	"Chromosome alignment maintaining phosphoprotein 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	283489	CHAMP1	TF
ENSG00000198832	SELENOM	 SELM, SEPM,	"Selenoprotein M"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	140606	SELENOM	TopGeneInFirstStep
ENSG00000198839	ZNF277	 NRIF4, ZNF277P,	"Zinc finger protein 277"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	11179	ZNF277	TF
ENSG00000198840	MT-ND3	 MTND3, NAD3, ND3,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4537	MT-ND3	TopGeneInFirstStep
ENSG00000198851	CD3E	 ,	"CD3e molecule"	"CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	916	CD3E	TopGeneInFirstStep,CancerDExpr
ENSG00000198860	TSEN15	 C1orf19,	"TRNA splicing endonuclease subunit 15"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	116461	TSEN15	TopGeneInFirstStep
ENSG00000198886	MT-ND4	 LHON, MTND4, NAD4, ND4,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4538	MT-ND4	TopGeneInFirstStep
ENSG00000198888	MT-ND1	 MTND1, NAD1, ND1,	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4535	MT-ND1	TopGeneInFirstStep
ENSG00000198899	MT-ATP6	 ATP6, ATPase-6, MTATP6, RP, Su6m,	"Mitochondrially encoded ATP synthase membrane subunit 6"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4508	MT-ATP6	TopGeneInFirstStep
ENSG00000198937	CCDC167	 C6orf129, dJ153P14.2,	"Coiled-coil domain containing 167"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	154467	CCDC167	TopGeneInFirstStep
ENSG00000198938	MT-CO3	 CO3, COIII, COX3, MTCO3,	"Mitochondrially encoded cytochrome c oxidase III"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	4514	MT-CO3	TopGeneInFirstStep
ENSG00000198945	L3MBTL3	 KIAA1798,	"L3MBTL histone methyl-lysine binding protein 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84456	L3MBTL3	TF
ENSG00000203326	ZNF525	 KIAA1979,	"Zinc finger protein 525"	"Predicted intracellular proteins"	"Evidence at transcript level"	"Evidence at transcript level"	170958	ZNF525	TF
ENSG00000203747	FCGR3A	 CD16, CD16a, FCG3, FCGR3,	"Fc fragment of IgG receptor IIIa"	"CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	2214	FCGR3A	FunctionGene
ENSG00000203896	LIME1	 dJ583P15.4, FLJ20406, LIME,	"Lck interacting transmembrane adaptor 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54923	LIME1	TopGeneInFirstStep
ENSG00000204209	DAXX	 DAP6,	"Death domain associated protein"	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1616	DAXX	TopGeneInFirstStep,FunctionGene
ENSG00000204228	HSD17B8	 D6S2245E, FABGL, H2-KE6, HKE6, KE6, RING2, SDR30C1,	"Hydroxysteroid 17-beta dehydrogenase 8"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7923	HSD17B8	TopGeneInFirstStep
ENSG00000204237	OXLD1	 C17orf90, MGC104712,	"Oxidoreductase like domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	339229	OXLD1	TopGeneInFirstStep
ENSG00000204264	PSMB8	 beta5i, D6S216E, LMP7, PSMB5i, RING10,	"Proteasome 20S subunit beta 8"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5696	PSMB8	TopGeneInFirstStep
ENSG00000204272	NBDY	 LINC01420, NoBody,	"Negative regulator of P-body association"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	550643	NBDY	TopGeneInFirstStep
ENSG00000204287	HLA-DRA	 HLA-DRA1,	"Major histocompatibility complex, class II, DR alpha"	"Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3122	HLA-DRA	FunctionGene
